Range(m) 532nmResult 355nmResult
2490.0000 1.0000 1.0000
2493.7500 1.0000 1.0000
2497.5000 1.0000 1.0000
2501.2500 1.0000 1.0000
2505.0000 1.0000 1.0000
2508.7500 1.0000 1.0000
2512.5000 1.0000 1.0000
2516.2500 1.0000 1.0000
2520.0000 1.0000 1.0000
2523.7500 1.0000 1.0000
2527.5000 1.0000 1.0000
2531.2500 1.0000 1.0000
2535.0000 1.0000 1.0000
2538.7500 1.0000 1.0000
2542.5000 1.0000 1.0000
2546.2500 1.0000 1.0000
2550.0000 1.0000 1.0000
2553.7500 1.0000 1.0000
2557.5000 1.0000 1.0000
2561.2500 1.0000 1.0000
2565.0000 1.0000 1.0000
2568.7500 1.0000 1.0000
2572.5000 1.0000 1.0000
2576.2500 1.0000 1.0000
2580.0000 1.0000 1.0000
2583.7500 1.0000 1.0000
2587.5000 1.0000 1.0000
2591.2500 1.0000 1.0000
2595.0000 1.0000 1.0000
2598.7500 1.0000 1.0000
2602.5000 1.0000 1.0000
2606.2500 1.0000 1.0000
2610.0000 1.0000 1.0000
2613.7500 1.0000 1.0000
2617.5000 1.0000 1.0000
2621.2500 1.0000 1.0000
2625.0000 1.0000 1.0000
2628.7500 1.0000 1.0000
2632.5000 1.0000 1.0000
2636.2500 1.0000 1.0000
2640.0000 1.0000 1.0000
2643.7500 1.0000 1.0000
2647.5000 1.0000 1.0000
2651.2500 1.0000 1.0000
2655.0000 1.0000 1.0000
2658.7500 1.0000 1.0000
2662.5000 1.0000 1.0000
2666.2500 1.0000 1.0000
2670.0000 1.0000 1.0000
2673.7500 1.0000 1.0000
2677.5000 1.0000 1.0000
2681.2500 1.0000 1.0000
2685.0000 1.0000 1.0000
2688.7500 1.0000 1.0000
2692.5000 1.0000 1.0000
2696.2500 1.0000 1.0000
2700.0000 1.0000 1.0000
2703.7500 1.0000 1.0000
2707.5000 1.0000 1.0000
2711.2500 1.0000 1.0000
2715.0000 1.0000 1.0000
2718.7500 1.0000 1.0000
2722.5000 1.0000 1.0000
2726.2500 1.0000 1.0000
2730.0000 1.0000 1.0000
2733.7500 1.0000 1.0000
2737.5000 1.0000 1.0000
2741.2500 1.0000 1.0000
2745.0000 1.0000 1.0000
2748.7500 1.0000 1.0000
2752.5000 1.0000 1.0000
2756.2500 1.0000 1.0000
2760.0000 1.0000 1.0000
2763.7500 1.0000 1.0000
2767.5000 1.0000 1.0000
2771.2500 1.0000 1.0000
2775.0000 1.0000 1.0000
2778.7500 1.0000 1.0000
2782.5000 1.0000 1.0000
2786.2500 1.0000 1.0000
2790.0000 1.0000 1.0000
2793.7500 1.0000 1.0000
2797.5000 1.0000 1.0000
2801.2500 1.0000 1.0000
2805.0000 1.0000 1.0000
2808.7500 1.0000 1.0000
2812.5000 1.0000 1.0000
2816.2500 1.0000 1.0000
2820.0000 1.0000 1.0000
2823.7500 1.0000 1.0000
2827.5000 1.0000 1.0000
2831.2500 1.0000 1.0000
2835.0000 1.0000 1.0000
2838.7500 1.0000 1.0000
2842.5000 1.0000 1.0000
2846.2500 1.0000 1.0000
2850.0000 1.0000 1.0000
2853.7500 1.0000 1.0000
2857.5000 1.0000 1.0000
2861.2500 1.0000 1.0000
2865.0000 1.0000 1.0000
2868.7500 1.0000 1.0000
2872.5000 1.0000 1.0000
2876.2500 1.0000 1.0000
2880.0000 1.0000 1.0000
2883.7500 1.0000 1.0000
2887.5000 1.0000 1.0000
2891.2500 1.0000 1.0000
2895.0000 1.0000 1.0000
